NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;FPOE   ;GRUE   ;OEVP   ;NEOS   ;HC     ;LINKS  ;BIER   ;SOEZ   ;VOLT   ;WIFF   ;PRO    ;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;28;901;319;2;133;32;44;50;26;11;8;8;5;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;29;456;171;4;63;10;29;32;21;1;5;4;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;30;0;6544;66;2242;178;1914;1208;608;55;190;68;10;5;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;0;0;24;5;3;2;5;2;3;0;3;1;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;1;709;247;3;85;10;60;47;26;1;10;3;1;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;2;449;197;5;73;5;59;28;17;1;6;3;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;3;631;252;0;85;16;62;37;30;5;11;5;0;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;4;465;190;8;60;11;45;33;19;1;11;2;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;5;551;198;3;72;5;48;28;22;5;10;5;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;6;719;249;0;95;9;60;33;21;5;19;4;2;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;7;674;252;0;93;7;69;33;28;2;15;5;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;8;520;194;4;60;6;67;26;15;2;5;8;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;9;715;280;3;74;9;95;32;49;4;11;3;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;10;753;264;6;101;11;63;38;32;6;3;1;3;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;11;610;214;3;80;11;56;26;21;2;12;2;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;12;908;304;8;105;14;71;41;33;5;20;6;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;13;778;278;3;89;6;80;38;31;6;14;11;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;14;826;301;10;135;17;59;42;21;9;4;3;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;15;244;120;10;61;5;4;35;1;3;1;0;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;16;857;292;8;95;16;84;34;35;3;12;5;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;17;696;261;6;89;9;63;44;25;5;12;6;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;18;621;215;2;70;4;59;32;28;2;14;3;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;19;817;309;2;108;8;94;44;32;3;12;5;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;20;706;260;1;81;9;83;31;35;2;11;6;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;21;716;257;5;88;9;66;41;20;5;12;6;4;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;22;664;229;0;85;17;57;23;19;9;14;4;0;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;23;596;260;1;99;14;66;23;28;2;13;12;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;24;689;256;4;70;17;83;36;27;6;9;2;1;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;25;706;283;2;109;17;75;29;17;12;17;5;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;26;689;267;3;86;4;103;35;17;2;13;3;0;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;27;647;267;3;89;17;73;31;26;13;14;1;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;28;599;196;6;69;8;58;23;16;6;8;1;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;29;683;252;2;77;11;78;39;29;2;12;2;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;30;705;301;3;136;10;83;30;20;1;11;3;4;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90701;4;1;2;7;31;0;7312;38;2405;166;2324;1209;721;66;278;80;14;11;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;0;0;18;4;3;1;2;4;2;1;1;0;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;1;482;184;2;54;10;46;35;22;7;4;3;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;2;567;181;11;49;14;34;33;19;6;8;7;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;3;477;167;4;52;15;33;36;17;4;2;2;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;4;788;250;3;85;10;42;61;20;8;12;7;1;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;5;693;223;1;62;11;62;38;21;11;12;4;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;6;660;251;9;72;11;51;53;37;2;10;6;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;7;682;254;4;104;10;54;43;25;2;10;1;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;8;733;265;5;92;12;47;57;30;6;13;3;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;9;773;263;2;94;8;69;36;28;6;10;8;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;10;672;274;3;100;10;68;49;30;2;7;4;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;11;733;285;6;90;14;60;50;33;7;17;7;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;12;555;223;1;86;8;46;38;26;4;8;4;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;13;497;210;2;88;6;40;35;28;3;5;3;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;14;817;300;1;109;15;63;64;32;3;7;5;0;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;15;816;309;2;105;15;73;64;29;3;12;6;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;16;704;218;6;72;5;59;46;23;0;6;0;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;17;762;225;1;69;5;56;33;32;3;17;9;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;18;796;286;2;99;9;48;71;25;9;12;6;5;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;19;614;228;2;87;18;53;31;20;6;6;5;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;20;679;226;1;64;10;56;56;24;2;9;4;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;21;856;316;5;116;24;62;51;31;5;11;10;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;22;730;270;6;109;14;61;36;16;3;16;6;2;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90801;4;1;2;8;23;0;6040;38;1873;175;1574;1354;672;65;212;65;7;5;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;0;0;25;4;6;2;7;4;0;0;0;2;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;1;776;270;5;101;11;60;49;32;2;10;0;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;2;601;225;2;70;13;50;42;32;4;8;4;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;3;775;624;11;234;37;151;85;52;5;33;16;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;4;687;272;3;94;20;56;56;26;10;3;4;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;5;610;196;0;80;8;42;25;21;10;6;4;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;6;699;251;5;88;6;60;52;31;4;2;3;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;7;643;204;8;76;16;38;34;26;0;3;2;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;8;738;263;2;86;11;62;56;28;6;9;2;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;9;669;254;8;83;8;50;42;32;12;12;6;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;10;639;204;3;72;6;46;29;27;5;12;4;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90901;4;1;2;9;11;612;212;4;109;20;17;28;15;5;6;8;0;0;0;0;                                                                                                                                                                                         
